Key	Value
FileSource	Empty
TimeCreated	2025-01-06 23:57:12
Salt256Bit	3e0baca5640c63e38c6a2ec5d7c732e12f3610cf06a9a5949dc9f157a0141699
Address	da:4c:10:de:17:00
LE_LOCAL_KEY_IRK	c7c63640bb80dfa24fd6cf9026c85032
LE_LOCAL_KEY_IR	3edc41cbc537e8288bf9403e7c3afdfd
LE_LOCAL_KEY_DHK	632ac39b1053b69dbf2b875d30387c37
LE_LOCAL_KEY_ER	b9e832f01732210aeefce3ce0369f598
ScanMode	1
DiscoveryTimeout	120
